bidder_id,outcome,total_country,total_device,total_auction,per_auction_avg_country,per_auction_avg_device,per_auction_avg_auction,per_auction_avg_bid_,total_bid,total_merchandise,total_ip,total_url,per_auction_avg_merchandise,per_auction_avg_ip,per_auction_avg_url
7a48dd2503ec0c40dbc97d001fef02fd18bhl,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d97c1a2ec764d315a3950d4270d638d9qflpn,NA,4,27,15,1,4.6,1,15.7333333333333,236,1,8,14,1,1.6,3.4
2413c059e6fbb255d1079102b3d8dfd7zv6ed,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d63c2a5af1913f01555dcc995d6d604452ulu,NA,1,2,2,1,1,1,1,2,1,2,2,1,1,1
bb790a228de797253bf6afa43ee52eba1s2dx,0,85,595,117,2.81196581196581,15.025641025641,1,43.2991452991453,5066,1,1045,2998,1,13.1282051282051,26.3846153846154
76ed824b414b5e690ff82e7cd2f5be52256my,0,38,289,175,1.14285714285714,12.7428571428571,1,58.1542857142857,10177,1,460,28,1,15.6514285714286,1.25142857142857
67336e0b5f4cf7b1bed98e8356294313h6921,NA,5,13,11,1,1.18181818181818,1,1.36363636363636,15,1,14,10,1,1.27272727272727,1.09090909090909
f29896e71c8077db28617a03c0f14e7570emg,0,5,7,5,1.4,1.8,1,2.2,11,1,10,6,1,2.2,1.8
4a3c90a0d9f76dcd825fe1cf5047c954q48po,NA,3,11,14,1,1,1,1,14,1,13,7,1,1,1
1a05e95995f901ee6aaae228563a257eqrmr0,NA,16,16,9,1.88888888888889,2.11111111111111,1,2.33333333333333,21,1,20,13,1,2.22222222222222,1.77777777777778
4bf30b842eadc03b3c38cc7b4ef0edd94n7so,NA,1,4,4,1,1.75,1,2.25,9,1,6,5,1,1.75,2
c6a804142434d5905fb4191d871a64fe5i3wu,NA,1,19,17,1,1.64705882352941,1,1.88235294117647,32,1,26,3,1,1.76470588235294,1.35294117647059
43a4e01748901b62b4b23b0b6c39cff8trpgz,NA,3,14,10,1,1.4,1,1.4,14,1,11,10,1,1.4,1.4
367edc726ba8e667973844395493559dtf2o3,0,54,176,160,1.1875,2.24375,1,2.76875,443,1,368,244,1,2.59375,2.16875
e1aec9fdce54a1d1eb23bbfffb8fc4b33h00h,NA,3,5,23,1,1.17391304347826,1,6.8695652173913,158,1,6,24,1,1.17391304347826,5.1304347826087
6d90be49989d875e7a8ebf6f7f7bbdb5arzuc,NA,1,1,2,1,1,1,2,4,1,1,2,1,1,1.5
08e32f3d08db3edea0fea2e8c6634c8c4iq14,NA,4,5,5,1,1,1,1,5,1,5,5,1,1,1
8d4cc3988c9cb3b902c07cdd1a68fd4f36cit,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6ba41ab8142e0cdbd39ec7d6fcb12bafk2fr0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96145a3b21bf25e866844540be17251dn0v0w,NA,2,2,2,1,1,1,1,2,1,2,2,1,1,1
459283816b011d0addac9fc7354e3bb83si2z,NA,4,70,38,1.05263157894737,3.23684210526316,1,6.26315789473684,238,1,128,10,1,4.92105263157895,1.71052631578947
01f498a0992d280de63ec346692efb2blckg2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b7630ee9a73e7ba6f11f7717b7f03ed4be2hb,0,29,79,154,1.11038961038961,1.61038961038961,1,3.2012987012987,493,1,201,137,1,2.14285714285714,1.98701298701299
374d46dd31fd569b852f35695dcde8409vbit,NA,9,37,32,1,1.4375,1,1.53125,49,1,44,25,1,1.4375,1.375
c4ff39eb949d7ad6510ab136e3cece2dl585v,NA,1,20,6,1,3.83333333333333,1,5.83333333333333,35,1,15,15,1,3,3.66666666666667
49eaad86d095aa5af75ce34e59e4b7f1mmf9q,0,6,6,7,1,1.14285714285714,1,1.28571428571429,9,1,6,2,1,1,1
481fdbc92e77bba4c9611841a7d74071elwx6,0,6,7,4,1.75,2,1,2,8,1,8,3,1,2,1.25
7ade70030d559a6c255be2f6feca17acnrqs0,NA,10,117,116,1.00862068965517,2.5948275862069,1,3.29310344827586,382,1,347,246,1,3.18965517241379,2.88793103448276
bc3b4f3878582eef73bbb9314c0b6606hzbqh,NA,21,54,62,1.08064516129032,1.2258064516129,1,1.30645161290323,81,1,73,50,1,1.24193548387097,1.25806451612903
4ffbea815bb0953e5c220cdce75e5425ia0ay,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d82a8e930f4d8c79b3a4a52a2a3ccd5d0wpak,NA,1,5,6,1,1,1,1,6,1,5,4,1,1,1
8d3ec1167ab74e29430f60699f10af3fyi7za,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22401c4dc0cb1e5d52da01ebb8b2839cdoauo,0,8,32,35,1.02857142857143,1.6,1,2.45714285714286,86,1,66,7,1,2.31428571428571,1.22857142857143
3e2f6796d57de4ed3e311de6832755938jue0,NA,45,698,615,1.05853658536585,7.54959349593496,1,19.0325203252033,11705,1,4783,7044,1,11.2341463414634,15.2065040650407
9a6aa161cde219d80b72bf241fc7387fl9x4q,NA,40,197,211,1.09952606635071,2.38388625592417,1,2.80568720379147,592,1,445,201,1,2.5781990521327,2.49289099526066
4e0025ef370150c5ea8c3df303cc8d72a8oom,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3c77ec9f79f6febf630325ef84f2a0bcl3qg1,0,5,27,20,1,1.5,1,1.6,32,1,31,4,1,1.55,1.3
58728a6afb14d8beaf1d0e98d647cff6sores,NA,2,8,4,1.25,3.25,1,27,108,1,81,4,1,21.5,1.75
b970a53727b2bfaf02079779c846a52fj3f0q,0,2,2,2,1,1,1,1,2,1,2,2,1,1,1
65f52b46edfc7fa64b9e74557a78e52c1it54,0,1,1,1,1,1,1,2,2,1,2,1,1,2,1
e6f08c26415285571218b5df2bf355bah5w5w,NA,1,7,5,1,1.8,1,1.8,9,1,9,5,1,1.8,1.6
d6d786acf17a25f2d997d6f35f788469xn95v,NA,3,3,3,1,1,1,1,3,1,3,2,1,1,1
3749a005e0dd0505a2859053878ccf073z8nf,NA,2,4,4,1,1.25,1,1.25,5,1,5,5,1,1.25,1.25
092ceb77862ed0c120af013fe90093e64qknp,NA,8,361,30,1.23333333333333,46.0333333333333,1,1327.36666666667,39821,1,34395,17,1,1192.8,1.6
bb44dac09fb608848481c354fc55475742lnu,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4e9cd4447d36dfeab111933ebc49dbaf1yj9d,NA,1,1,16,1,1,1,3.625,58,1,1,3,1,1,1.4375
45fe4f0fb849e7195a1efd5495d1285f2culj,0,4,4,6,1,1,1,1,6,1,5,3,1,1,1
eed6c3a41b10ff62d1be7e4a55dd4674alfiy,NA,5,28,24,1,1.33333333333333,1,1.375,33,1,32,20,1,1.33333333333333,1.375
0956ac7abf361527a71a2c24a3f29b80ytlot,NA,13,16,16,1.1875,1.1875,1,1.25,20,1,19,2,1,1.1875,1
fa7b1d9ef3ed860d720374d5485f63e4fgll1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06af48f3b9799398a569506d7cbfaa747k49t,NA,3,29,36,1,1.5,1,1.52777777777778,55,1,51,27,1,1.52777777777778,1.47222222222222
f725c5b4cece8353da7a636fcba0ecb5yxshd,0,4,30,77,1.03896103896104,1.85714285714286,1,3.66233766233766,282,1,88,10,1,3.09090909090909,1.14285714285714
98c12418158dfb9494af01308ac2d0588gfw2,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1
a02cbd8a459207156ac4d9d2f2bc7a1dutdpl,NA,71,451,213,1.39906103286385,5.24882629107981,1,24.3474178403756,5186,1,3232,1148,1,16.3708920187793,7.92957746478873
29e08b4d18198fe9265772fba3a4f6c4mj1rw,0,20,475,216,1.03240740740741,5.40277777777778,1,5.84259259259259,1262,1,1240,7,1,5.80092592592593,2.48611111111111
4ed4760782d4e2c65bee8cadc1fcdc89htz8b,0,1,43,53,1,1.56603773584906,1,1.69811320754717,90,1,53,23,1,1.56603773584906,1.45283018867925
